freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S41;im:Trc2_S41;re:Trc3_S13;im:Trc3_S13;re:Trc4_S14;im:Trc4_S14;re:Trc5_S21;im:Trc5_S21;re:Trc6_S22;im:Trc6_S22;re:Trc7_S23;im:Trc7_S23;re:Trc8_S24;im:Trc8_S24;re:Trc9_S31;im:Trc9_S31;re:Trc10_S32;im:Trc10_S32;re:Trc11_S33;im:Trc11_S33;re:Trc12_S34;im:Trc12_S34;re:Trc13_S41;im:Trc13_S41;re:Trc14_S42;im:Trc14_S42;re:Trc15_S43;im:Trc15_S43;re:Trc16_S22;im:Trc16_S22;re:Trc17_S22;im:Trc17_S22;
3.209292585170341E+008;8.222906857739742E-001;4.343991390854251E-001;1.911783213131086E-003;-9.560127886561607E-004;-6.021648876342180E-006;5.018444247311828E-006;1.929259749169310E-003;-9.849644649603448E-004;-2.156937704883850E-006;-4.977399105075382E-006;-4.034195023522719E-001;5.700037612012085E-003;-9.466307447998762E-007;-2.855342060767546E-006;3.012443928679143E-006;-2.335295075141189E-006;-5.463163518220974E-006;-9.874219430200554E-006;-2.559700662989965E-006;6.002982665806063E-006;1.005422274149689E+000;-7.700504061447376E-002;3.804822250768149E-008;-1.378577346737492E-006;1.911783213131086E-003;-9.560127886561607E-004;2.496239048125909E-006;2.640134849531248E-006;-3.071144195478832E-006;1.294216695554944E-006;-4.034195023522719E-001;5.700037612012085E-003;-4.034195023522719E-001;5.700037612012085E-003;
3.369607214428858E+008;8.580007775604633E-001;3.533106225959996E-001;-6.408385268742739E-004;-1.542114686380232E-003;4.353653928923700E-006;-6.586727240267266E-006;-6.361589129704204E-004;-1.512758279938505E-003;5.972444508464963E-006;-5.316457837389826E-006;-3.949781309594626E-001;7.033787172221931E-002;5.774764145580387E-006;-2.773264274324754E-006;4.803862805560768E-006;4.770040611132617E-006;5.020854168306734E-006;-1.411733169784709E-006;-7.341290696295281E-006;3.056327862915606E-006;1.004634411718258E+000;-8.096993835265232E-002;-2.873276499111549E-006;8.833381833142868E-006;-6.408385268742739E-004;-1.542114686380232E-003;-3.469215248775092E-006;-3.076695630928258E-006;-1.044534083742109E-006;-5.565546969536831E-006;-3.949781309594626E-001;7.033787172221931E-002;-3.949781309594626E-001;7.033787172221931E-002;
3.529921843687375E+008;8.976076312222500E-001;2.117231122917088E-001;1.467162574579087E-004;2.468706482725048E-004;-5.832271722727137E-007;2.206311507802161E-007;1.510283458801284E-004;2.542557440820075E-004;1.853231130460269E-006;4.392123688058799E-006;-3.764627362082940E-001;1.335517514408028E-001;-1.649131611241270E-006;4.793019014652048E-007;1.654189343683753E-006;6.079444347098829E-006;-7.985973128602574E-007;-6.442463995495166E-006;6.105418683237172E-006;-1.221281246990369E-006;1.003782030680240E+000;-8.502471412048490E-002;1.586789110611402E-006;6.352716678923024E-006;1.467162574579087E-004;2.468706482725048E-004;8.390242883270802E-007;5.177223856725473E-006;-3.560294737262535E-006;6.611967753555280E-006;-3.764627362082940E-001;1.335517514408028E-001;-3.764627362082940E-001;1.335517514408028E-001;
3.690236472945892E+008;9.188404177321043E-001;1.098719596249676E-001;-3.939662565230970E-004;-4.541182778161969E-004;-5.726278673017322E-006;-5.950754507873758E-006;-3.777808803380507E-004;-4.460396993067972E-004;-2.591946079060592E-006;1.056090999574215E-007;-3.483401550664633E-001;1.938418196678962E-001;1.385758032004353E-006;1.036681389553714E-006;2.855980684541947E-006;-2.096084421492065E-006;7.060189282997727E-006;1.943526157310080E-006;2.800618362636762E-006;2.320053875531334E-006;1.003076062243760E+000;-8.921182595777345E-002;8.629903588438071E-006;-2.593232082267336E-006;-3.939662565230970E-004;-4.541182778161969E-004;1.611432290576913E-005;-4.649010445425761E-006;6.310882604181278E-006;9.825374926140539E-006;-3.483401550664633E-001;1.938418196678962E-001;-3.483401550664633E-001;1.938418196678962E-001;
3.850551102204409E+008;9.187478061178581E-001;7.571459678049324E-003;-5.142904055017394E-004;2.580674531819342E-004;2.142906177266076E-006;-2.943086853304213E-006;-5.019544602039657E-004;2.489875357061599E-004;-5.760553057977736E-007;-4.283879148441292E-006;-3.111755330981549E-001;2.491381444106534E-001;-2.360851203352245E-007;6.726588283490569E-006;-1.461091748856475E-006;3.592130260382995E-007;2.698814935735434E-006;4.646848471798108E-006;9.047547095549900E-006;-5.181460223677127E-006;1.002143731838193E+000;-9.337394043173479E-002;8.442026982437914E-006;-1.668510025864208E-006;-5.142904055017394E-004;2.580674531819342E-004;5.304577588792681E-006;-1.054395060860182E-005;9.548823801788703E-007;-1.401766336863262E-006;-3.111755330981549E-001;2.491381444106534E-001;-3.111755330981549E-001;2.491381444106534E-001;
4.010865731462926E+008;9.147749893522376E-001;-1.118684484164720E-001;3.131286212431456E-004;3.586510919289603E-004;1.725668379444427E-006;1.146118590961847E-006;3.050936400776510E-004;3.663120041804780E-004;1.744972535636193E-006;4.027471126825003E-006;-2.661983610838931E-001;2.984924145160772E-001;3.250921856416982E-006;-2.724289661659531E-006;-6.741011497233387E-006;8.926587494267883E-006;1.762350977377677E-006;2.088065537589869E-006;-5.417343353076430E-006;-7.765713455711652E-006;1.001316423974596E+000;-9.697950216310296E-002;4.296419377264132E-006;3.128281190970590E-006;3.131286212431456E-004;3.586510919289603E-004;-2.763604100301714E-006;1.973330377420413E-006;-5.453089809823934E-006;-5.150496359222971E-006;-2.661983610838931E-001;2.984924145160772E-001;-2.661983610838931E-001;2.984924145160772E-001;
4.171180360721443E+008;8.996793921082309E-001;-2.149936245200048E-001;2.505577810502910E-005;-8.894991015079483E-004;2.686960125031451E-006;-2.883017744724815E-006;2.515936225448311E-005;-8.941126150312082E-004;-3.560199246475279E-007;3.629692537387434E-006;-2.134415856967327E-001;3.403476395277942E-001;-1.772810384750133E-006;-1.808511914502483E-006;6.971837866557299E-006;1.344840069429494E-005;6.256336528971330E-006;5.530243226678181E-006;-8.707430340790175E-007;5.323156072595375E-007;1.000652647493315E+000;-1.006709899970815E-001;1.581713359706499E-006;3.747837901580651E-006;2.505577810502910E-005;-8.894991015079483E-004;-3.412402671297884E-006;9.284384119841696E-006;3.004761068655564E-006;-6.814250112019950E-006;-2.134415856967327E-001;3.403476395277942E-001;-2.134415856967327E-001;3.403476395277942E-001;
4.331494989979960E+008;8.651938155798419E-001;-3.138525894701243E-001;-8.442719670949834E-004;-8.393917540614948E-004;3.704020033493310E-006;2.719871638543893E-006;-8.495113667316544E-004;-8.261128352107305E-004;-5.675995116768621E-007;-2.929126726316056E-006;-1.550751111933080E-001;3.730734980202295E-001;-6.726703592205648E-006;7.951112144311830E-007;7.435090337921191E-006;-8.417087896665900E-006;4.195731150039188E-006;2.130742790578074E-006;-8.146322099379650E-006;1.457864617851287E-006;9.998382661326808E-001;-1.047451966535396E-001;-1.425195673880949E-006;-1.199336073113868E-005;-8.442719670949834E-004;-8.393917540614948E-004;1.153641801035166E-005;3.363297481300075E-006;-3.217353811422931E-006;6.717033214725805E-006;-1.550751111933080E-001;3.730734980202295E-001;-1.550751111933080E-001;3.730734980202295E-001;
4.491809619238477E+008;8.111498542016121E-001;-4.289157320394160E-001;-1.146455700501562E-003;5.102626096754354E-004;-6.041360117885389E-006;-2.899386479435980E-006;-1.146308034710949E-003;5.207049901008087E-004;4.741660772363037E-006;2.936401075302375E-006;-9.144230493223619E-002;3.961158279633853E-001;2.045816833329594E-007;9.550257558801645E-006;-3.146585407593817E-006;-7.023885088362143E-006;1.527699553159678E-005;3.439598827358124E-006;2.620860609929628E-006;-9.520362986016030E-007;9.989884479740862E-001;-1.081694445212387E-001;-5.011264841400774E-006;3.129439336263892E-006;-1.146455700501562E-003;5.102626096754354E-004;6.415936623808059E-006;1.008166717077402E-006;3.030338135400858E-006;3.742166428007873E-007;-9.144230493223619E-002;3.961158279633853E-001;-9.144230493223619E-002;3.961158279633853E-001;
4.652124248496994E+008;7.408040453369149E-001;-5.290524416362242E-001;-4.857020618927137E-004;1.097229159702311E-003;-5.594675587827821E-007;-1.588301421723448E-006;-4.586472045356313E-004;1.109832079444113E-003;2.881221872802483E-006;-2.720829882118668E-006;-2.454350182317872E-002;4.086862511037637E-001;-7.236361412132918E-007;1.125906780921106E-006;-4.036560463149953E-006;1.581979866506045E-006;3.169043003702434E-006;-5.271624756800892E-006;-4.795238288341627E-006;2.477967453184415E-006;9.980874021676530E-001;-1.113771200328506E-001;1.553846116084295E-006;9.784911030388774E-006;-4.857020618927137E-004;1.097229159702311E-003;1.894630808540892E-006;-5.517593027598761E-006;-5.420345599688177E-006;-3.520380254806814E-006;-2.454350182317872E-002;4.086862511037637E-001;-2.454350182317872E-002;4.086862511037637E-001;
