freq[Hz];re:Trc3_S11;im:Trc3_S11;
1.058336873747495E+009;-5.816154655005779E-001;1.354478655760373E-001;
1.066352304609219E+009;-5.611264904417170E-001;1.929606203374377E-001;
1.074367735470942E+009;-5.364674129856095E-001;2.541627990311412E-001;
1.082383166332665E+009;-5.081169544808490E-001;3.089703191946822E-001;
1.090398597194389E+009;-4.748836821159818E-001;3.634540675419380E-001;
1.098414028056112E+009;-4.364900360875970E-001;4.133812156946781E-001;
1.106429458917836E+009;-3.952975310477552E-001;4.564633176123844E-001;
1.114444889779559E+009;-3.527891583762292E-001;4.919185005214307E-001;
1.122460320641283E+009;-3.020990381859214E-001;5.238018049235786E-001;
1.130475751503006E+009;-2.468539236531745E-001;5.554587901560150E-001;
1.138491182364729E+009;-1.953690682792622E-001;5.807112577441160E-001;
1.146506613226453E+009;-1.449551055700142E-001;6.005831023087259E-001;
1.154522044088177E+009;-9.328734383453549E-002;6.104835825407722E-001;
1.162537474949900E+009;-4.586786466221158E-002;6.183310861455397E-001;
1.170552905811623E+009;1.299203270534065E-002;6.219494756333057E-001;
1.178568336673347E+009;6.364965681412421E-002;6.211534642216479E-001;
1.186583767535070E+009;1.219152940692059E-001;6.148440315025655E-001;
1.194599198396794E+009;1.748796495142093E-001;6.023099901274657E-001;
1.202614629258517E+009;2.271270561415325E-001;5.857168541029066E-001;
1.210630060120240E+009;2.805345970085678E-001;5.632297466075312E-001;
1.218645490981964E+009;3.350936434822457E-001;5.372024953209839E-001;
1.226660921843688E+009;3.820488817916812E-001;5.176662453142595E-001;
1.234676352705411E+009;4.162072776151574E-001;4.980421218658813E-001;
1.242691783567134E+009;4.436158350319769E-001;4.673504566328527E-001;
1.250707214428858E+009;4.826073372721870E-001;4.198264299385601E-001;
1.258722645290581E+009;5.211396057415428E-001;3.688998901188728E-001;
1.266738076152305E+009;5.579453431886148E-001;3.265376548000744E-001;
1.274753507014028E+009;5.925525816229366E-001;2.793764905751524E-001;
1.282768937875752E+009;6.175282314192474E-001;2.379806522161384E-001;
1.290784368737475E+009;6.336780777268156E-001;1.993615537753892E-001;
1.298799799599198E+009;6.421915975077022E-001;1.536778393304760E-001;
1.306815230460922E+009;6.521056165254822E-001;9.767524751620944E-002;
1.314830661322645E+009;6.630044554012536E-001;4.909207718714460E-002;
1.322846092184369E+009;6.755664711368444E-001;2.178986471670116E-003;
1.330861523046092E+009;6.718285306399192E-001;-3.070561068838630E-002;
1.338876953907816E+009;6.601122358871377E-001;-7.645519707054313E-002;
1.346892384769539E+009;6.450590453585431E-001;-1.357612278040422E-001;
1.354907815631263E+009;6.394966053104542E-001;-1.923609691995966E-001;
1.362923246492986E+009;6.295104722406386E-001;-2.371246079993076E-001;
1.370938677354709E+009;6.136839469827240E-001;-2.733328802681510E-001;
1.378954108216433E+009;5.943759288765650E-001;-3.084606751240958E-001;
1.386969539078157E+009;5.698373082052680E-001;-3.464147379074167E-001;
1.394984969939880E+009;5.327830012294418E-001;-3.869914044167852E-001;
1.403000400801603E+009;5.009008604711385E-001;-4.300572993049384E-001;
1.411015831663327E+009;4.723378254776100E-001;-4.681406561183892E-001;
1.419031262525050E+009;4.423389886560180E-001;-4.967958410883877E-001;
1.427046693386774E+009;4.020314532287983E-001;-5.208641094940599E-001;
1.435062124248497E+009;3.570233641146217E-001;-5.459723958185397E-001;
1.443077555110220E+009;3.087968266810931E-001;-5.792001594198186E-001;
1.451092985971944E+009;2.788353093269333E-001;-6.039446106358719E-001;
1.459108416833667E+009;2.457809329263991E-001;-6.124102517043759E-001;
1.467123847695391E+009;2.089530042826414E-001;-6.159423205910950E-001;
1.475139278557114E+009;1.601184539142979E-001;-6.220716933212761E-001;
1.483154709418838E+009;1.063590072816647E-001;-6.281262735339108E-001;
1.491170140280561E+009;5.273251204910937E-002;-6.352264725921826E-001;
1.499185571142285E+009;5.593662786645322E-003;-6.427180894229466E-001;
1.507201002004008E+009;-3.537397225088613E-002;-6.440645449634306E-001;
1.515216432865732E+009;-6.917521497217094E-002;-6.348739044353737E-001;
1.523231863727455E+009;-1.068374640088442E-001;-6.168092383153673E-001;
1.531247294589178E+009;-1.486489568359567E-001;-5.975346234742319E-001;
1.539262725450902E+009;-1.961274592210145E-001;-5.853193295625800E-001;
1.547278156312625E+009;-2.312594457621813E-001;-5.720122286260915E-001;
1.555293587174349E+009;-2.595102921338705E-001;-5.488660410405891E-001;
1.563309018036072E+009;-2.936155811656755E-001;-5.169177403741144E-001;
1.571324448897796E+009;-3.307951683816773E-001;-4.835945591148105E-001;
1.579339879759519E+009;-3.679885223829980E-001;-4.522330339548572E-001;
1.587355310621243E+009;-3.967077695305770E-001;-4.215047942196825E-001;
1.595370741482966E+009;-4.242385072573240E-001;-3.874893230714267E-001;
1.603386172344689E+009;-4.459242820555628E-001;-3.554600589368900E-001;
1.611401603206413E+009;-4.694284172690504E-001;-3.233245270458124E-001;
1.619417034068137E+009;-4.814909718059228E-001;-2.869090213104232E-001;
1.627432464929860E+009;-4.947778654387935E-001;-2.513416116320535E-001;
1.635447895791583E+009;-5.056118712239389E-001;-2.163343289406274E-001;
1.643463326653307E+009;-5.090589246580940E-001;-1.838241705715581E-001;
1.651478757515030E+009;-5.051742227149206E-001;-1.448952366120433E-001;
1.659494188376754E+009;-5.031263684480196E-001;-9.852715982690520E-002;
1.667509619238477E+009;-5.044747997762588E-001;-5.325456729959863E-002;
1.675525050100200E+009;-5.055863757311173E-001;-1.012330381014143E-002;
1.683540480961924E+009;-5.017286586452772E-001;2.466105546730777E-002;
1.691555911823647E+009;-4.932956717663475E-001;5.283076803497890E-002;
1.699571342685371E+009;-4.807977189562650E-001;8.008018978712718E-002;
1.707586773547094E+009;-4.598601040264113E-001;1.065033570105900E-001;
1.715602204408818E+009;-4.330761201279919E-001;1.368595225659286E-001;
1.723617635270541E+009;-4.070968768936218E-001;1.763638090247253E-001;
1.731633066132265E+009;-3.854914473068130E-001;2.058938823040043E-001;
1.739648496993988E+009;-3.660223917037302E-001;2.317846438702299E-001;
1.747663927855712E+009;-3.362767709412942E-001;2.481263313436300E-001;
1.755679358717435E+009;-3.019594310397933E-001;2.674295387664668E-001;
1.763694789579158E+009;-2.716302593152232E-001;2.877978987139875E-001;
1.771710220440882E+009;-2.415926869746485E-001;3.067608618570435E-001;
1.779725651302605E+009;-2.158085830006647E-001;3.224488214909544E-001;
1.787741082164329E+009;-1.885134734357508E-001;3.314032496857438E-001;
1.795756513026052E+009;-1.672921754249228E-001;3.297967289908841E-001;
1.803771943887776E+009;-1.335463582301955E-001;3.221315519528934E-001;
1.811787374749499E+009;-9.070227603920730E-002;3.130572719659403E-001;
1.819802805611223E+009;-4.145426507859985E-002;3.104252782998522E-001;
1.827818236472946E+009;-1.151936788713538E-002;3.149019467352605E-001;
1.835833667334669E+009;6.999264083349290E-003;3.094294757782645E-001;
1.843849098196393E+009;2.968262058596704E-002;2.956358338788832E-001;
1.851864529058116E+009;5.983206775734798E-002;2.750794552721443E-001;
1.859879959919840E+009;8.913216572855655E-002;2.598542213452497E-001;
1.867895390781563E+009;1.134377083719017E-001;2.440209754306466E-001;
1.875910821643287E+009;1.341904781334052E-001;2.253959301539058E-001;
1.883926252505010E+009;1.496938227546443E-001;2.012036073643486E-001;
1.891941683366734E+009;1.668016678405404E-001;1.786745463290075E-001;
1.899957114228457E+009;1.788401197504874E-001;1.497364521310234E-001;
1.907972545090180E+009;1.927150107442505E-001;1.210984727472066E-001;
1.915987975951904E+009;2.069925109977058E-001;9.756580242135773E-002;
1.924003406813627E+009;2.136455019500083E-001;8.198672148686642E-002;
1.932018837675351E+009;2.047854167131236E-001;5.911476940452613E-002;
1.940034268537074E+009;1.929473050557288E-001;3.024732459329231E-002;
1.948049699398798E+009;1.908029226188643E-001;-6.754190384840144E-003;
1.956065130260521E+009;1.864291767078489E-001;-3.245499471782575E-002;
1.964080561122245E+009;1.776500928848620E-001;-5.520835576543676E-002;
1.972095991983968E+009;1.608523071941766E-001;-7.471361452521678E-002;
1.980111422845691E+009;1.435451474226213E-001;-9.838248081451508E-002;
1.988126853707415E+009;1.258504544711826E-001;-1.185434245346978E-001;
1.996142284569138E+009;1.028508036927467E-001;-1.363769556057802E-001;
2.004157715430862E+009;7.924521080525122E-002;-1.576436327101928E-001;
2.012173146292585E+009;6.660952779325036E-002;-1.757020771597060E-001;
2.020188577154309E+009;5.348444832749870E-002;-1.837556135567025E-001;
2.028204008016032E+009;3.137159639091084E-002;-1.806420330424967E-001;
2.036219438877756E+009;-1.732004883222095E-003;-1.752426994100746E-001;
2.044234869739479E+009;-3.069165046624639E-002;-1.812911333491049E-001;
2.052250300601203E+009;-5.718837638281610E-002;-1.794560454872056E-001;
2.060265731462926E+009;-8.061462175454379E-002;-1.744105120537149E-001;
2.068281162324649E+009;-1.074936432159180E-001;-1.605936552117301E-001;
2.076296593186373E+009;-1.359397694600463E-001;-1.523505534106001E-001;
2.084312024048096E+009;-1.606560534093782E-001;-1.404776511855921E-001;
2.092327454909820E+009;-1.835524183859280E-001;-1.274818803634514E-001;
2.100342885771543E+009;-2.001247174172616E-001;-1.060674099638199E-001;
2.108358316633267E+009;-2.235862011290667E-001;-8.831645859654759E-002;
2.116373747494990E+009;-2.383303670488206E-001;-7.337458350480253E-002;
2.124389178356714E+009;-2.477382820557312E-001;-5.183120392094507E-002;
2.132404609218437E+009;-2.565196419012193E-001;-2.550850797011262E-002;
2.140420040080160E+009;-2.672764923321700E-001;8.555076278176614E-004;
2.148435470941884E+009;-2.682481935583190E-001;2.654579687842728E-002;
2.156450901803608E+009;-2.669147863061567E-001;5.801501990770892E-002;
2.164466332665331E+009;-2.644412101540651E-001;9.373786524237326E-002;
2.172481763527054E+009;-2.645817518006365E-001;1.265312834367000E-001;
2.180497194388778E+009;-2.638833164270640E-001;1.548602895800947E-001;
2.188512625250501E+009;-2.544339688682408E-001;1.833388657081309E-001;
2.196528056112225E+009;-2.434577255083974E-001;2.112886894017626E-001;
2.204543486973948E+009;-2.292891247034171E-001;2.409149080306168E-001;
2.212558917835671E+009;-2.163687247945798E-001;2.642143438287889E-001;
2.220574348697395E+009;-1.975875497374421E-001;2.879627315860930E-001;
2.228589779559118E+009;-1.751908654450280E-001;3.072792784366752E-001;
2.236605210420842E+009;-1.470068823965097E-001;3.259198676320012E-001;
2.244620641282565E+009;-1.133683991053794E-001;3.430707264779195E-001;
2.252636072144289E+009;-7.311031149209495E-002;3.649792168160184E-001;
2.260651503006012E+009;-4.016806734889833E-002;3.920253760101549E-001;
2.268666933867735E+009;-1.784477384724347E-002;4.138793897902788E-001;
2.276682364729459E+009;6.620455900142221E-003;4.260308607805184E-001;
2.284697795591182E+009;3.059528108427790E-002;4.336122224908187E-001;
2.292713226452906E+009;5.773688235149422E-002;4.368864835707303E-001;
2.300728657314630E+009;8.582112141221490E-002;4.295716994768909E-001;
2.308744088176353E+009;1.235620349163907E-001;4.189540500248508E-001;
2.316759519038076E+009;1.683809782371505E-001;4.102070946151121E-001;
2.324774949899800E+009;2.087524708192081E-001;4.116630879349039E-001;
2.332790380761523E+009;2.383560120639144E-001;3.979309502336720E-001;
2.340805811623247E+009;2.734914560171750E-001;3.799979130837070E-001;
2.348821242484970E+009;3.171531501359892E-001;3.639415063431986E-001;
2.356836673346694E+009;3.520652608076725E-001;3.503104982679735E-001;
2.364852104208417E+009;3.816248865581876E-001;3.357900815497198E-001;
2.372867535070140E+009;4.028751657312124E-001;3.180105505923924E-001;
2.380882965931864E+009;4.314579096222108E-001;2.861519547841107E-001;
2.388898396793587E+009;4.538174677707765E-001;2.644054464283414E-001;
2.396913827655311E+009;4.771669011634021E-001;2.386737238152811E-001;
2.404929258517034E+009;4.949138864163528E-001;1.963972536804208E-001;
2.412944689378758E+009;5.242148833518351E-001;1.633178814653175E-001;
2.420960120240481E+009;5.427355115357591E-001;1.388167218211588E-001;
2.428975551102204E+009;5.512015709808509E-001;1.138720842334288E-001;
2.436990981963928E+009;5.512533210076951E-001;6.864066071725064E-002;
2.445006412825651E+009;5.609582461569409E-001;1.491379923147431E-002;
2.453021843687375E+009;5.820377590013354E-001;-2.689235569903318E-002;
2.461037274549099E+009;5.920298120008258E-001;-5.522650284261931E-002;
2.469052705410822E+009;5.828534873518139E-001;-8.601293623548320E-002;
2.477068136272545E+009;5.891963860449989E-001;-1.313305369676793E-001;
2.485083567134269E+009;5.911021255369082E-001;-1.659409517147810E-001;
2.493098997995992E+009;5.911235303351899E-001;-1.976350384946571E-001;
2.501114428857716E+009;5.804075688461662E-001;-2.330199416541814E-001;
2.509129859719439E+009;5.760197302626433E-001;-2.715723568276346E-001;
2.517145290581163E+009;5.739626245251724E-001;-2.976340867734129E-001;
2.525160721442886E+009;5.492156313816594E-001;-3.136073907165685E-001;
2.533176152304609E+009;5.162595014683157E-001;-3.557462315048290E-001;
2.541191583166333E+009;4.945976403428047E-001;-4.099317164899434E-001;
2.549207014028056E+009;4.973014107072222E-001;-4.465380322800113E-001;
2.557222444889780E+009;4.817533041195408E-001;-4.552591563082044E-001;
2.565237875751503E+009;4.528458999937430E-001;-4.724618837862905E-001;
2.573253306613226E+009;4.179646717395780E-001;-5.032846646049305E-001;
2.581268737474950E+009;3.785220492331356E-001;-5.356256151631270E-001;
2.589284168336673E+009;3.377336467184286E-001;-5.630952431446490E-001;
2.597299599198397E+009;2.940412538638189E-001;-5.958757756712729E-001;
2.605315030060121E+009;2.657397975258891E-001;-6.218433003614801E-001;
2.613330460921844E+009;2.437988264252555E-001;-6.425586032534431E-001;
2.621345891783567E+009;2.177032479238302E-001;-6.473693086463799E-001;
2.629361322645291E+009;1.699968087893217E-001;-6.559785764045841E-001;
2.637376753507014E+009;1.325363176542528E-001;-6.710874560530581E-001;
2.645392184368738E+009;9.428196150476932E-002;-6.884243910118695E-001;
2.653407615230461E+009;6.355255051649864E-002;-6.883163838339550E-001;
2.661423046092185E+009;3.069561675496551E-002;-6.812538960948353E-001;
2.669438476953908E+009;-2.089852781099718E-002;-6.835571811536139E-001;
2.677453907815631E+009;-6.559962509995439E-002;-6.825731500186706E-001;
2.685469338677355E+009;-1.051407413676632E-001;-6.825815065468355E-001;
2.693484769539078E+009;-1.429071486292990E-001;-6.695453077043830E-001;
2.701500200400802E+009;-1.884299207385591E-001;-6.668485580766166E-001;
2.709515631262525E+009;-2.247936678044154E-001;-6.612498281578791E-001;
2.717531062124249E+009;-2.613759587206489E-001;-6.510267036225342E-001;
2.725546492985972E+009;-2.957126875076302E-001;-6.367536935868080E-001;
2.733561923847695E+009;-3.284335478990609E-001;-6.273026333542684E-001;
2.741577354709419E+009;-3.515928913012629E-001;-6.147118730455703E-001;
2.749592785571142E+009;-3.828385168729974E-001;-5.987492477045696E-001;
2.757608216432866E+009;-4.067793116647419E-001;-5.828035524579376E-001;
2.765623647294590E+009;-4.291740520130978E-001;-5.627090211619422E-001;
2.773639078156313E+009;-4.488339358584642E-001;-5.417137913910318E-001;
2.781654509018036E+009;-4.711344897305048E-001;-5.157837599071440E-001;
2.789669939879760E+009;-5.011585183973794E-001;-4.829977286298746E-001;
2.797685370741483E+009;-5.264923535698093E-001;-4.559228153178237E-001;
2.805700801603207E+009;-5.428697141968182E-001;-4.317609025783208E-001;
2.813716232464930E+009;-5.579522566014926E-001;-3.952425468979921E-001;
2.821731663326654E+009;-5.859667108463460E-001;-3.503063019576785E-001;
2.829747094188377E+009;-6.113419444117507E-001;-3.168834441880835E-001;
2.837762525050100E+009;-6.241781327997573E-001;-2.921551172480041E-001;
2.845777955911824E+009;-6.303766222330930E-001;-2.558043607592749E-001;
2.853793386773547E+009;-6.419935714341472E-001;-2.133175334342480E-001;
2.861808817635271E+009;-6.468477252598509E-001;-1.766283899771365E-001;
2.869824248496994E+009;-6.495448569777027E-001;-1.353914335099162E-001;
2.877839679358717E+009;-6.581423992323284E-001;-8.967339623096816E-002;
2.885855110220441E+009;-6.667576040249267E-001;-4.127345106249259E-002;
2.893870541082164E+009;-6.732192663721077E-001;-1.250388314819256E-002;
2.901885971943888E+009;-6.681246266605937E-001;2.180036090728901E-002;
2.909901402805611E+009;-6.574358443390858E-001;5.555294649859795E-002;
2.917916833667335E+009;-6.465721533697474E-001;1.002035426558216E-001;
2.925932264529059E+009;-6.405382078964903E-001;1.378689275184539E-001;
2.933947695390782E+009;-6.291087397035695E-001;1.666987993507104E-001;
2.941963126252505E+009;-6.127235854474030E-001;1.985922573912367E-001;
2.949978557114229E+009;-5.958142012615869E-001;2.359238017541733E-001;
2.957993987975952E+009;-5.892848603775124E-001;2.641711423747034E-001;
2.966009418837676E+009;-5.663246687467788E-001;2.888186428096435E-001;
2.974024849699399E+009;-5.416924684859859E-001;3.139127567357041E-001;
2.982040280561122E+009;-5.176183743879003E-001;3.401585515570036E-001;
2.990055711422846E+009;-4.886437144813569E-001;3.655295919102298E-001;
2.998071142284569E+009;-4.534061687312837E-001;3.895921808330000E-001;
3.006086573146293E+009;-4.147016961352960E-001;4.248724163153769E-001;
3.014102004008016E+009;-3.899228499489701E-001;4.564424675478981E-001;
3.022117434869740E+009;-3.729315972265376E-001;4.713312040684119E-001;
3.030132865731463E+009;-3.438118290418157E-001;4.738312162145422E-001;
3.038148296593186E+009;-3.053833562425796E-001;4.845430523385114E-001;
3.046163727454910E+009;-2.725540386303485E-001;5.039239600152399E-001;
3.054179158316633E+009;-2.461139066449973E-001;5.075546895362749E-001;
3.062194589178357E+009;-2.077629706257755E-001;5.086629825946502E-001;
3.070210020040080E+009;-1.578547813049115E-001;5.184771660082961E-001;
3.078225450901804E+009;-1.238491932689102E-001;5.332263726026428E-001;
3.086240881763527E+009;-1.049000503988911E-001;5.283014187297072E-001;
3.094256312625251E+009;-6.974682049235749E-002;5.099308936042047E-001;
3.102271743486974E+009;-1.771801874137308E-002;5.068439711764681E-001;
3.110287174348698E+009;2.820521879746269E-002;5.071476562943461E-001;
3.118302605210421E+009;4.892426368036659E-002;5.073635990360806E-001;
3.126318036072145E+009;7.810077277038123E-002;4.841871859984295E-001;
3.134333466933868E+009;1.308727361081979E-001;4.784801023966430E-001;
3.142348897795591E+009;1.614185780754528E-001;4.833079276674626E-001;
3.150364328657315E+009;1.583394044841333E-001;4.637479763902190E-001;
3.158379759519038E+009;1.810211538447655E-001;4.210550808346271E-001;
3.166395190380762E+009;2.325331119863219E-001;4.004852298659900E-001;
3.174410621242485E+009;2.619838613882313E-001;3.897445265474810E-001;
